player;round;unité;att/def;couleur;critique;touche;adrenaline;block;miss;statJoueur;statGeneral;statValue
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;b;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;b;0;1;0;0;0;;;
b;3;dew;def;r;0;0;0;1;0;1;2;0,333333333
b;3;dew;def;r;0;0;1;0;0;;;
b;3;dew;def;r;0;0;1;0;0;;;
b;3;dew;def;r;0;0;0;0;1;;;
b;3;storm;att;w;0;1;0;0;0;2;2,25;0,470588235
b;3;storm;att;w;0;0;1;0;0;;;
b;3;storm;att;w;0;0;0;0;1;;;
b;3;storm;att;w;0;0;0;0;1;;;
b;3;storm;att;w;0;0;0;0;1;;;
b;3;storm;att;w;0;0;0;0;1;;;
r;3;speeder;def;r;0;0;0;1;0;1;0,5;0,666666667
r;3;speeder;att;r;0;1;0;0;0;5;4,875;0,506329114
r;3;speeder;att;b;0;1;0;0;0;;;
r;3;speeder;att;b;0;1;0;0;0;;;
r;3;speeder;att;b;0;0;0;0;1;;;
r;3;speeder;att;w;0;0;0;0;1;;;
r;3;speeder;att;w;0;0;0;0;1;;;
r;3;speeder;att;w;0;0;0;0;1;;;
r;3;speeder;att;b;0;1;0;0;0;;;
r;3;speeder;att;w;1;0;0;0;0;;;
b;3;dew;def;r;0;0;0;1;0;3;2;0,6
b;3;dew;def;r;0;0;0;1;0;;;
b;3;dew;def;r;0;0;0;1;0;;;
b;3;dew;def;r;0;0;0;0;1;;;
r;3;phase1;att;b;0;1;0;0;0;3;3,5;0,461538462
r;3;phase1;att;b;0;1;0;0;0;;;
r;3;phase1;att;b;0;0;0;0;1;;;
r;3;phase1;att;b;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;0;0;1;;;
r;3;phase1;att;w;0;0;1;0;0;;;
r;3;phase1;att;w;0;1;0;0;0;;;
b;3;dew;def;r;0;0;0;1;0;1;1;0,5
b;3;dew;def;r;0;0;0;0;1;;;
b;3;veers;att;w;0;0;0;0;1;0;1,125;0
b;3;veers;att;w;0;0;0;0;1;;;
b;3;veers;att;w;0;0;0;0;1;;;
r;3;phase1;att;b;1;0;0;0;0;2;1,5;0,571428571
r;3;phase1;att;b;0;1;0;0;0;;;
r;3;phase1;att;b;0;0;1;0;0;;;
b;3;dew;def;r;0;0;1;0;0;0;0,5;0
b;3;mortar;att;w;0;1;0;0;0;2;1,875;0,516129032
b;3;mortar;att;w;0;0;0;0;1;;;
b;3;mortar;att;w;0;0;0;0;1;;;
b;3;mortar;att;w;1;0;0;0;0;;;
b;3;mortar;att;w;0;0;0;0;1;;;
r;3;phase1;def;r;0;0;1;0;0;0;0,5;0
r;3;snipe;att;r;0;1;0;0;0;2;1,5;0,571428571
r;3;snipe;att;r;0;1;0;0;0;;;
b;3;snipe;att;b;0;1;0;0;0;1;1;0,5
b;3;snipe;att;b;0;0;0;0;1;;;
r;3;speeder;att;r;0;0;1;0;0;3;2,5;0,545454545
r;3;speeder;att;b;0;1;0;0;0;;;
r;3;speeder;att;b;0;0;0;0;1;;;
r;3;speeder;att;w;0;1;0;0;0;;;
b;3;snipe;att;b;1;0;0;0;0;2;1,5;0,571428571
b;3;snipe;att;b;0;0;0;0;1;;;
b;3;snipe;att;b;0;1;0;0;0;;;
b;3;dew;att;r;0;1;0;0;0;4;3,75;0,516129032
b;3;dew;att;r;0;1;0;0;0;;;
b;3;dew;att;r;0;0;0;0;1;;;
b;3;dew;att;w;1;0;0;0;0;;;
b;3;dew;att;w;1;0;0;0;0;;;
b;3;dew;att;w;0;0;0;0;1;;;
r;3;yoda;def;r;0;0;1;0;0;1;1,333;
r;3;yoda;def;r;0;0;0;0;1;;;
r;4;supress;def;w;0;0;1;0;0;1;0,333;0,750187547
